NumClients,DataSize,RingDimension,ClientID,T_KeyGen_MKCKKS_ms,T_KeyGen_ECDH_ms,T_KeyGen_Total_ms,T_Encrypt_ms,T_PartialDec_ms,T_MaskGen_ms,T_ClientTotal_ms
200,65536,131072,38,62.4496,0.6968,63.1464,123.065,35.945,2719.66,2878.67
200,65536,131072,39,63.0992,0.695468,63.7946,131.064,36.7641,2777.66,2945.49
200,65536,131072,40,63.6063,0.727325,64.3336,124.631,36.3143,2706.29,2867.24
200,65536,131072,41,64.6404,0.722897,65.3632,124.603,37.3732,2716.19,2878.17
200,65536,131072,42,64.1848,0.729118,64.9139,124.187,36.9126,2690.02,2851.12
200,65536,131072,43,64.4857,0.721545,65.2072,130.254,37.3675,2666.7,2834.33
200,65536,131072,44,63.7052,0.69661,64.4018,122.612,36.5097,2714.77,2873.89
200,65536,131072,45,62.714,0.709704,63.4237,122.957,36.7523,2702.91,2862.62
200,65536,131072,46,67.248,0.82695,68.0749,121.803,35.7081,2673.57,2831.08
200,65536,131072,47,64.7554,0.72723,65.4827,124.571,36.4784,2670.62,2831.67
200,65536,131072,48,64.0181,0.706113,64.7243,124.807,36.6936,2690.35,2851.85
200,65536,131072,49,64.2121,0.733731,64.9459,120.446,35.8581,2772.93,2929.23
200,65536,131072,50,63.7433,0.74981,64.4931,120.119,35.3004,2646.42,2801.84
200,65536,131072,51,62.8732,0.724154,63.5973,121.486,35.0596,2692.52,2849.06
200,65536,131072,52,62.6902,0.695915,63.3861,122.171,35.2522,2685.35,2842.77
200,65536,131072,53,63.6483,0.735034,64.3834,120.807,35.0648,2690.03,2845.9
200,65536,131072,54,63.3848,1.00559,64.3904,118.348,34.4471,2636.07,2788.86
200,65536,131072,55,65.246,0.723834,65.9698,117.428,35.7286,2587.86,2741.02
200,65536,131072,56,65.1806,0.740994,65.9216,116.444,33.9737,2617.05,2767.47
200,65536,131072,57,64.2074,0.725136,64.9326,117.395,35.0612,2576.29,2728.74
200,65536,131072,58,64.3483,0.730035,65.0783,116.894,36.7787,2638.12,2791.8
200,65536,131072,59,64.7945,0.7214,65.5159,115.735,33.8979,2608.12,2757.75
200,65536,131072,60,64.561,0.713125,65.2741,119.114,34.9905,2621.68,2775.78
200,65536,131072,61,64.4862,0.71582,65.2021,124.523,35.1904,2556.73,2716.45
200,65536,131072,62,64.6812,0.703839,65.385,117.655,34.9037,2621.03,2773.59
200,65536,131072,63,63.9626,0.745397,64.708,117.787,34.9411,2641.46,2794.19
200,65536,131072,64,64.0787,0.735831,64.8146,116.656,34.5549,2604.55,2755.76
200,65536,131072,65,64.9884,0.733026,65.7214,117.978,34.3925,2579.27,2731.64
200,65536,131072,66,63.9208,0.761616,64.6824,118.154,34.9758,2609.23,2762.36
200,65536,131072,67,63.2537,0.729239,63.983,116.877,34.4514,2629.53,2780.85
200,65536,131072,68,63.1192,0.694167,63.8133,117.962,34.3549,2604.42,2756.74
200,65536,131072,69,66.2051,0.721585,66.9267,119.265,35.3158,2634.39,2788.97
200,65536,131072,70,62.0581,0.713682,62.7718,121.772,36.1112,2607.9,2765.78
200,65536,131072,71,62.9663,0.707601,63.6739,120.627,38.1529,2589.43,2748.21
200,65536,131072,72,63.0628,0.741,63.8038,118.554,35.1773,2683.44,2837.17
200,65536,131072,73,62.4548,0.701029,63.1558,118.437,35.7994,2696.28,2850.52
200,65536,131072,74,62.4577,0.693476,63.1511,121.588,35.9849,2598.37,2755.95
200,65536,131072,75,62.6464,0.687787,63.3341,117.436,34.4897,2567.66,2719.59
200,65536,131072,76,62.5865,0.684952,63.2714,118.725,35.4943,2586.67,2740.89
200,65536,131072,77,62.3612,0.711387,63.0725,121.033,35.5751,2632.31,2788.92
200,65536,131072,78,62.2219,0.702608,62.9245,120.242,35.1907,2602.48,2757.91
